POSTE;NOM;LON;LAT;ALT;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
22113006;LANNION_AERO;-3.469;48.755;85;01/01/2020;0,2;7,1;10,4;5,1;230;3,5;240;;
22113006;LANNION_AERO;-3.469;48.755;85;02/01/2020;0,4;8,5;12,2;15,3;210;8,5;200;;
22113006;LANNION_AERO;-3.469;48.755;85;03/01/2020;1,6;8,2;10,7;13;230;8,6;240;;
22113006;LANNION_AERO;-3.469;48.755;85;04/01/2020;0;1,6;9,8;6,5;260;4,6;250;;
22113006;LANNION_AERO;-3.469;48.755;85;05/01/2020;0;5,7;7,1;6,1;210;3,9;200;;
22113006;LANNION_AERO;-3.469;48.755;85;06/01/2020;1,2;-1,1;11,1;14,1;210;8,4;230;;
22113006;LANNION_AERO;-3.469;48.755;85;07/01/2020;0;5;13,6;12,1;200;7,5;220;;
22113006;LANNION_AERO;-3.469;48.755;85;08/01/2020;1,8;11,5;13,5;14,8;200;7,8;180;;
22113006;LANNION_AERO;-3.469;48.755;85;09/01/2020;7,4;8,6;13,3;18,4;230;11,6;230;;
22113006;LANNION_AERO;-3.469;48.755;85;10/01/2020;0,2;6,5;10,4;16,7;300;9,3;310;;
22113006;LANNION_AERO;-3.469;48.755;85;11/01/2020;0,2;3,8;11,4;15,2;210;8,7;210;;
22113006;LANNION_AERO;-3.469;48.755;85;12/01/2020;0;7,1;11,8;16,1;190;8,8;200;;
22113006;LANNION_AERO;-3.469;48.755;85;13/01/2020;8,7;4,2;12,4;21,9;210;11,8;200;;
22113006;LANNION_AERO;-3.469;48.755;85;14/01/2020;10,5;9,1;14,1;23,7;210;13,5;200;;
22113006;LANNION_AERO;-3.469;48.755;85;15/01/2020;3,6;7,1;10,9;20,5;190;11,6;190;;
22113006;LANNION_AERO;-3.469;48.755;85;16/01/2020;5;5,1;13,4;20,7;200;12;180;;
22113006;LANNION_AERO;-3.469;48.755;85;17/01/2020;3,4;6;8,9;20,2;270;13,1;260;;
22113006;LANNION_AERO;-3.469;48.755;85;18/01/2020;0;2,1;9,5;9,7;70;5,1;60;;
22113006;LANNION_AERO;-3.469;48.755;85;19/01/2020;0;3,9;8,7;9;60;5,1;60;;
22113006;LANNION_AERO;-3.469;48.755;85;20/01/2020;0;3,9;9,4;8,5;80;4,7;60;;
22113006;LANNION_AERO;-3.469;48.755;85;21/01/2020;0;5;9;8,5;70;5,3;60;;
22113006;LANNION_AERO;-3.469;48.755;85;22/01/2020;0,2;1,8;8,4;11,6;70;5,8;70;;
22113006;LANNION_AERO;-3.469;48.755;85;23/01/2020;0;3,5;7,6;11,3;90;5,7;60;;
22113006;LANNION_AERO;-3.469;48.755;85;24/01/2020;0;3,3;6,8;10,1;50;6,1;60;;
22113006;LANNION_AERO;-3.469;48.755;85;25/01/2020;0,2;3;10,4;8,7;180;5,4;180;;
22113006;LANNION_AERO;-3.469;48.755;85;26/01/2020;8,7;6,1;11;15,1;240;8,5;240;;
22113006;LANNION_AERO;-3.469;48.755;85;27/01/2020;7,6;6,8;9,5;22,1;270;13;270;;
22113006;LANNION_AERO;-3.469;48.755;85;28/01/2020;2,6;3,8;9,7;26,2;320;14,5;280;;
22113006;LANNION_AERO;-3.469;48.755;85;29/01/2020;1,6;6,6;12,3;13,5;280;8,3;260;;
22113006;LANNION_AERO;-3.469;48.755;85;30/01/2020;0,8;6,2;13,7;12,8;240;8,7;230;;
22113006;LANNION_AERO;-3.469;48.755;85;31/01/2020;3;8,9;13,8;15;200;8,9;210;;
22113006;LANNION_AERO;-3.469;48.755;85;01/02/2020;8;10;13,5;12,9;230;8,4;230;;
22113006;LANNION_AERO;-3.469;48.755;85;02/02/2020;6;10,8;13,6;16,6;230;10,8;240;;
22113006;LANNION_AERO;-3.469;48.755;85;03/02/2020;12;7,8;12,1;14;310;8,4;290;;
22113006;LANNION_AERO;-3.469;48.755;85;04/02/2020;0;7;10,5;17,5;290;10,4;290;;
22113006;LANNION_AERO;-3.469;48.755;85;05/02/2020;1;7;10,4;5,2;100;3,1;80;;
22113006;LANNION_AERO;-3.469;48.755;85;06/02/2020;0;1,2;9,6;9;110;5,9;110;;
22113006;LANNION_AERO;-3.469;48.755;85;07/02/2020;2,6;0,4;12,1;11,1;180;6,6;110;;
22113006;LANNION_AERO;-3.469;48.755;85;08/02/2020;0;6,9;11,5;16,2;220;9,9;200;;
22113006;LANNION_AERO;-3.469;48.755;85;09/02/2020;2;7,4;14;29,2;260;18;250;;
22113006;LANNION_AERO;-3.469;48.755;85;10/02/2020;5,2;8,2;12,8;30,2;260;19,6;260;;
22113006;LANNION_AERO;-3.469;48.755;85;11/02/2020;3,2;5,6;9,1;22,8;250;15,3;280;;
22113006;LANNION_AERO;-3.469;48.755;85;12/02/2020;7,5;4,7;11,2;14,5;190;8,3;170;;
22113006;LANNION_AERO;-3.469;48.755;85;13/02/2020;4,2;6,3;10,7;25,1;280;16,2;260;;
22113006;LANNION_AERO;-3.469;48.755;85;14/02/2020;0;6,1;13,3;15,3;230;9,1;220;;
22113006;LANNION_AERO;-3.469;48.755;85;15/02/2020;5,6;11,5;14,2;25,2;190;13;190;;
22113006;LANNION_AERO;-3.469;48.755;85;16/02/2020;11,1;7,2;14,9;27,3;190;15,5;200;;
22113006;LANNION_AERO;-3.469;48.755;85;17/02/2020;4,6;6,2;10,7;22,3;260;12,7;250;;
22113006;LANNION_AERO;-3.469;48.755;85;18/02/2020;2,6;5,3;11,4;20,9;280;13,7;270;;
22113006;LANNION_AERO;-3.469;48.755;85;19/02/2020;1;7,3;12,2;18,2;290;10,7;300;;
22113006;LANNION_AERO;-3.469;48.755;85;20/02/2020;4,4;7,1;11;21,1;240;13,8;280;;
22113006;LANNION_AERO;-3.469;48.755;85;21/02/2020;0;3,9;11,7;14;210;9,5;230;;
22113006;LANNION_AERO;-3.469;48.755;85;22/02/2020;2;7,5;12,1;16,6;230;10,2;230;;
22113006;LANNION_AERO;-3.469;48.755;85;23/02/2020;2,2;10,8;12,6;17,3;220;11,1;230;;
22113006;LANNION_AERO;-3.469;48.755;85;24/02/2020;11,5;10,4;11,9;20,5;230;12,1;230;;
22113006;LANNION_AERO;-3.469;48.755;85;25/02/2020;6,2;4,3;10,9;25,3;280;15,6;280;;
22113006;LANNION_AERO;-3.469;48.755;85;26/02/2020;5,2;3,4;11,3;25,2;300;14,2;290;;
22113006;LANNION_AERO;-3.469;48.755;85;27/02/2020;0,2;5,4;11,1;23,4;260;16,6;260;;
22113006;LANNION_AERO;-3.469;48.755;85;28/02/2020;10,5;3,6;12,9;21,5;190;11,3;190;;
22113006;LANNION_AERO;-3.469;48.755;85;29/02/2020;6,4;4,9;8,6;25,1;210;14,8;250;;
22113006;LANNION_AERO;-3.469;48.755;85;01/03/2020;6,4;3,9;10,3;21,5;240;13,2;250;;
22113006;LANNION_AERO;-3.469;48.755;85;02/03/2020;3,6;5,5;9,2;19,8;260;11,1;290;;
22113006;LANNION_AERO;-3.469;48.755;85;03/03/2020;2,4;3,1;9,7;10,8;230;7,1;300;;
22113006;LANNION_AERO;-3.469;48.755;85;04/03/2020;8,2;4,6;12,2;15,3;270;10,6;270;;
22113006;LANNION_AERO;-3.469;48.755;85;05/03/2020;11,3;6,1;11,4;23,3;300;13,8;320;;
22113006;LANNION_AERO;-3.469;48.755;85;06/03/2020;2,4;4,5;10;17,3;300;11,2;290;;
22113006;LANNION_AERO;-3.469;48.755;85;07/03/2020;1,4;6,5;13,9;15;230;9,5;210;;
22113006;LANNION_AERO;-3.469;48.755;85;08/03/2020;7,8;6,5;12,4;21,8;240;12,9;270;;
22113006;LANNION_AERO;-3.469;48.755;85;09/03/2020;6,8;6,2;11,7;18,6;290;9,9;300;;
22113006;LANNION_AERO;-3.469;48.755;85;10/03/2020;1,8;9,8;13,3;15,6;240;10,1;240;;
22113006;LANNION_AERO;-3.469;48.755;85;11/03/2020;3;11,5;13,3;18,8;250;11,2;240;;
22113006;LANNION_AERO;-3.469;48.755;85;12/03/2020;1,2;6,5;11,3;17,7;280;12,9;260;;
22113006;LANNION_AERO;-3.469;48.755;85;13/03/2020;8,7;4,2;11,4;11,4;200;7,6;260;;
22113006;LANNION_AERO;-3.469;48.755;85;14/03/2020;1,6;7,3;11,1;12,7;270;8,5;280;;
22113006;LANNION_AERO;-3.469;48.755;85;15/03/2020;4,4;7,9;13,3;14,7;190;8,8;200;;
22113006;LANNION_AERO;-3.469;48.755;85;16/03/2020;0;6;11,3;7,7;10;5,1;10;;
22113006;LANNION_AERO;-3.469;48.755;85;17/03/2020;0,2;-0,7;14,4;6;170;3,6;280;;
22113006;LANNION_AERO;-3.469;48.755;85;18/03/2020;0,4;1,6;15,2;7,5;270;4,1;300;;
22113006;LANNION_AERO;-3.469;48.755;85;19/03/2020;0;1,8;15,1;8,8;60;5;10;;
22113006;LANNION_AERO;-3.469;48.755;85;20/03/2020;0;8,1;10;18,2;60;8,9;60;;
22113006;LANNION_AERO;-3.469;48.755;85;21/03/2020;0;7,3;8,6;13,7;60;7,6;70;;
22113006;LANNION_AERO;-3.469;48.755;85;22/03/2020;0;6,6;7,9;11,5;60;6,6;60;;
22113006;LANNION_AERO;-3.469;48.755;85;23/03/2020;0;6,6;12,8;9,6;110;5,8;90;;
22113006;LANNION_AERO;-3.469;48.755;85;24/03/2020;0,2;5;18,2;8,1;100;5,4;110;;
22113006;LANNION_AERO;-3.469;48.755;85;25/03/2020;0,2;-1,5;13,3;8,2;30;4,8;60;;
22113006;LANNION_AERO;-3.469;48.755;85;26/03/2020;0,2;4,1;10,9;12,7;360;8;10;;
22113006;LANNION_AERO;-3.469;48.755;85;27/03/2020;0;2,2;11,6;10,8;10;6,9;10;;
22113006;LANNION_AERO;-3.469;48.755;85;28/03/2020;0;6,9;10;17;60;8,2;50;;
22113006;LANNION_AERO;-3.469;48.755;85;29/03/2020;0;5,6;8,6;21;30;9,9;30;;
22113006;LANNION_AERO;-3.469;48.755;85;30/03/2020;0;4,8;8;18,7;30;8,7;20;;
22113006;LANNION_AERO;-3.469;48.755;85;31/03/2020;0,2;5,6;10,2;16,1;50;8,8;50;;
22168001;PLOUMANAC'H;-3.473;48.826;55;01/01/2020;0;8,1;10,7;5,6;230;3,8;230;;
22168001;PLOUMANAC'H;-3.473;48.826;55;02/01/2020;0,4;9,2;12,5;16,6;240;9,1;230;;
22168001;PLOUMANAC'H;-3.473;48.826;55;03/01/2020;0,2;8,6;10,7;14,9;230;9,5;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;04/01/2020;0;6,9;10,6;7,5;250;4,8;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;05/01/2020;0;6,7;7,7;6;220;3,9;210;;
22168001;PLOUMANAC'H;-3.473;48.826;55;06/01/2020;1,6;1,9;11,7;15,3;240;9,4;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;07/01/2020;0;6,3;13,8;14,6;230;8,2;230;;
22168001;PLOUMANAC'H;-3.473;48.826;55;08/01/2020;0,6;11,7;13,7;14,5;210;8,1;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;09/01/2020;3,8;8,7;13,4;19,3;240;11,5;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;10/01/2020;0;7,5;10,7;17,1;320;9,4;320;;
22168001;PLOUMANAC'H;-3.473;48.826;55;11/01/2020;0;6,6;11,5;15,7;210;8,4;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;12/01/2020;0;8,4;12,3;20,4;220;9,4;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;13/01/2020;7,1;6;12,6;22,5;210;11;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;14/01/2020;6,2;9,1;14,4;25,4;230;13,1;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;15/01/2020;3,1;7,3;11,3;20,1;190;11,2;210;;
