STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
46127001;GOURDON;1.397;44.745;260;2020/01/01;0.0;4.0;7.1;4.6;130;3.1;130;0;0.4
46127001;GOURDON;1.397;44.745;260;2020/01/02;0.0;3.0;11.4;8.0;140;4.4;160;311;0.8
46127001;GOURDON;1.397;44.745;260;2020/01/03;0.8;3.5;8.5;5.1;170;3.0;180;7;0.0
46127001;GOURDON;1.397;44.745;260;2020/01/04;0.0;5.6;8.8;6.6;340;4.1;330;0;0.3
46127001;GOURDON;1.397;44.745;260;2020/01/05;0.0;-3.5;7.3;4.3;30;2.7;130;428;0.3
46127001;GOURDON;1.397;44.745;260;2020/01/06;0.0;-1.8;13.4;6.9;160;4.3;190;430;0.7
46127001;GOURDON;1.397;44.745;260;2020/01/07;0.4;2.6;8.5;3.9;170;2.6;170;6;0.1
46127001;GOURDON;1.397;44.745;260;2020/01/08;0.0;7.6;12.7;4.2;110;3.2;120;51;0.5
46127001;GOURDON;1.397;44.745;260;2020/01/09;4.8;5.7;13.8;11.8;140;6.8;160;185;1.3
46127001;GOURDON;1.397;44.745;260;2020/01/10;0.6;5.6;9.1;8.8;180;5.3;320;21;0.7
46127001;GOURDON;1.397;44.745;260;2020/01/11;0.0;-1.5;8.9;3.5;120;2.9;120;436;0.6
46127001;GOURDON;1.397;44.745;260;2020/01/12;0.0;-3.4;7.2;3.5;340;2.7;130;432;0.4
46127001;GOURDON;1.397;44.745;260;2020/01/13;0.0;-1.3;9.2;6.7;180;4.0;170;266;0.7
46127001;GOURDON;1.397;44.745;260;2020/01/14;0.0;3.8;14.8;15.1;150;8.3;140;421;1.7
46127001;GOURDON;1.397;44.745;260;2020/01/15;0.0;4.8;16.0;16.3;140;9.0;140;241;1.8
46127001;GOURDON;1.397;44.745;260;2020/01/16;0.0;7.1;15.2;16.4;140;9.4;140;435;2.0
46127001;GOURDON;1.397;44.745;260;2020/01/17;8.0;5.8;10.1;12.4;130;7.0;140;24;0.6
46127001;GOURDON;1.397;44.745;260;2020/01/18;0.0;1.3;10.0;9.1;80;5.0;90;312;1.0
46127001;GOURDON;1.397;44.745;260;2020/01/19;0.0;3.5;7.3;14.9;20;7.9;20;365;2.1
46127001;GOURDON;1.397;44.745;260;2020/01/20;0.0;0.7;7.0;7.7;360;4.8;70;334;1.5
46127001;GOURDON;1.397;44.745;260;2020/01/21;0.0;2.4;13.6;11.9;80;6.9;100;175;1.9
46127001;GOURDON;1.397;44.745;260;2020/01/22;0.8;7.4;13.6;16.3;110;7.8;120;53;2.5
46127001;GOURDON;1.397;44.745;260;2020/01/23;0.0;10.6;14.7;15.7;130;8.4;120;34;2.7
46127001;GOURDON;1.397;44.745;260;2020/01/24;0.0;3.3;14.4;6.7;130;3.8;130;277;0.9
