STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/23;0,0;0,2;11,4;11,5;40;7,8;50;721;3,5
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/24;0,0;-2,5;11,9;12,9;40;8,7;40;721;3,6
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/25;0,0;-2,5;11,6;11,9;350;7,8;10;716;3,0
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/26;0,0;-0,6;10,7;9,7;20;7,0;20;575;2,7
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/27;0,0;-0,1;14,1;6,2;10;4,7;10;687;2,3
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/28;0,0;1,6;18,6;10,0;360;7,7;10;632;2,7
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/29;2,0;2,7;6,6;14,3;350;10,4;360;22;1,3
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/30;0,0;1,9;9,0;15,9;40;10,4;20;410;3,3
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/03/31;0,0;-2,5;12,4;17,4;50;8,7;40;749;3,4
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/04/01;0,0;-2,0;13,3;6,8;10;5,3;10;750;2,8
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/04/02;0,0;-1,0;15,8;8,3;350;5,8;350;743;3,0
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/04/03;0,0;-0,5;14,1;8,9;330;4,8;360;446;2,4
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/04/04;0,0;1,7;17,4;8,7;70;5,2;50;751;2,9
21473001;DIJON-LONGVIC;5,088;47,268;219;2020/04/05;0,0;1,0;21,0;10,0;160;6,3;170;756;3,4
69029001;LYON-BRON;4,938;45,726;197;2020/03/23;0,0;7,6;14,1;7,4;350;4,5;340;432;2,8
69029001;LYON-BRON;4,938;45,726;197;2020/03/24;0,0;2,3;12,5;9,3;190;5,7;180;655;2,6
69029001;LYON-BRON;4,938;45,726;197;2020/03/25;0,0;0,4;12,3;9,6;10;6,2;350;585;2,2
69029001;LYON-BRON;4,938;45,726;197;2020/03/26;0,0;3,3;12,6;14,4;170;8,6;180;612;3,2
69029001;LYON-BRON;4,938;45,726;197;2020/03/27;0,0;2,8;13,2;10,0;10;5,8;10;374;2,8
69029001;LYON-BRON;4,938;45,726;197;2020/03/28;0,0;3,5;17,7;10,0;30;6,0;10;445;2,8
69029001;LYON-BRON;4,938;45,726;197;2020/03/29;0,6;4,4;10,8;16,1;350;11,8;340;9;2,5
69029001;LYON-BRON;4,938;45,726;197;2020/03/30;0,0;3,3;8,8;11,3;20;7,1;360;0;2,2
69029001;LYON-BRON;4,938;45,726;197;2020/03/31;0,0;1,0;13,7;8,1;340;4,6;340;533;3,2
69029001;LYON-BRON;4,938;45,726;197;2020/04/01;0,0;-1,3;17,0;6,9;180;3,5;200;683;2,4
69029001;LYON-BRON;4,938;45,726;197;2020/04/02;0,0;1,6;16,8;8,7;350;5,5;330;615;2,8
69029001;LYON-BRON;4,938;45,726;197;2020/04/03;0,0;4,6;15,0;10,8;340;7,3;360;702;3,7
69029001;LYON-BRON;4,938;45,726;197;2020/04/04;0,0;1,8;19,8;10,4;160;6,2;170;708;3,1
69029001;LYON-BRON;4,938;45,726;197;2020/04/05;0,0;8,1;22,0;16,7;190;10,0;170;712;5,9
