POSTE;NOM;LON;LAT;ALT;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
76116001;ROUEN-BOOS;1.182;49.383;151;01/01/2020;0,8;-1,3;4,7;5,6;150;4;100;0;0
76116001;ROUEN-BOOS;1.182;49.383;151;02/01/2020;1;3,4;9;13;250;8,9;240;0;0,1
76116001;ROUEN-BOOS;1.182;49.383;151;03/01/2020;0,8;7,2;9,9;14,3;210;9,2;210;0;0,6
76116001;ROUEN-BOOS;1.182;49.383;151;04/01/2020;0,4;0,4;7,7;8,4;310;5,1;310;79;0,1
76116001;ROUEN-BOOS;1.182;49.383;151;05/01/2020;0,6;5,3;7,5;4,3;230;3,2;250;0;0,3
76116001;ROUEN-BOOS;1.182;49.383;151;06/01/2020;0,4;-0,5;7,8;11,5;210;6,8;240;323;0,3
76116001;ROUEN-BOOS;1.182;49.383;151;07/01/2020;0,2;4,6;11,8;8,8;210;6,4;210;74;0
76116001;ROUEN-BOOS;1.182;49.383;151;08/01/2020;0,2;9,7;12,7;10,3;220;7,1;190;0;0,2
76116001;ROUEN-BOOS;1.182;49.383;151;09/01/2020;3,2;10,7;12,6;14,6;190;9,7;190;0;0,9
76116001;ROUEN-BOOS;1.182;49.383;151;10/01/2020;0,4;5,7;7,2;12,2;350;7,8;320;0;0,6
76116001;ROUEN-BOOS;1.182;49.383;151;11/01/2020;0;2,8;8,5;10,9;200;8,2;210;0;0,9
76116001;ROUEN-BOOS;1.182;49.383;151;12/01/2020;0;4,3;11,8;10,9;220;7,3;220;0;1,1
76116001;ROUEN-BOOS;1.182;49.383;151;13/01/2020;0,8;2,6;10,4;17,9;180;12,1;190;0;0
76116001;ROUEN-BOOS;1.182;49.383;151;14/01/2020;1,8;9,6;11,4;20;210;13,3;200;0;1,2
76116001;ROUEN-BOOS;1.182;49.383;151;15/01/2020;1,4;4,9;10,4;15,9;180;10,9;200;0;1
76116001;ROUEN-BOOS;1.182;49.383;151;16/01/2020;1,6;2,5;12,3;13,2;170;9;160;0;0,7
76116001;ROUEN-BOOS;1.182;49.383;151;17/01/2020;2,2;3,6;10,4;15,4;300;9;270;0;0,7
76116001;ROUEN-BOOS;1.182;49.383;151;18/01/2020;0,4;0,6;7,6;9,4;250;6,2;240;0;0,4
